,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
1121,Audi,Q3,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,1 395 ccm,133 g/km,Euro 6,30 031 km,6/2018,,Metallic,,,,,,,,,,,,,,,,22149
1122,Cupra,Ateca,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,221 kW,1 984 ccm,175 g/km,Euro 6d,23 800 km,5/2022,1,Metallic,,,,,05/2025,,,,,,,,,,,42099
1123,Peugeot,3008,Grey,Beige interior,,MPV,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,88 kW,1 560 ccm,109 g/km,Euro 6,97 731 km,9/2015,,Metallic,,Used,,12/2024,,,,,,,,,,,,14149
1124,Mercedes-Benz,GLA 35 AMG,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,225 kW,1 991 ccm,0 g/km,Euro 6,0 km,8/2023,,Metallic,1675,New,,,,,,,,,,,,,,73099
1125,BMW,340,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,275 kW,2 998 ccm,184 g/km,Euro 6d,15 km,9/2023,,Metallic,,New,,,,,,,,,,,,,,80299
1126,BMW,218 Active Tourer,Black,,Alcantara interior,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,1 499 ccm,153 g/km,Euro 6d,0 km,9/2023,,Metallic,,New,,,,,,,,,,,,,,47599
1127,Peugeot,2008,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Manual,4x2,100 kW,,0 g/km,No emission class,9 021 km,12/2021,,Metallic,1623,Used,,,,,,,,,,,,,,33249
1128,Hyundai,Kona,Silver,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,146 kW,1 598 ccm,124 g/km,Euro 6d,100 km,11/2023,,Metallic,,,,,,,,,,,,,,,,39799
1129,BMW,545,Black,,Velour interior,Sedans / saloons,4/5 doors,,not published by the seller,Hybrid,Automatic,4x4,290 kW,2 998 ccm,0 g/km,,14 500 km,4/2023,,Metallic,,,,,,,,No,Plug-in hybrid,,,,,,,70199
1130,Volkswagen,Tiguan,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,130 g/km,Euro 6,14 000 km,9/2022,1,Metallic,,,,,,,,,,,,,,,,49149
1131,Renault,Captur,Blue,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,898 ccm,123 g/km,Euro 6,59 711 km,1/2019,,,,Used,,06/2024,,,,,,,,,,,,15899
1132,Opel,Corsa,Blue,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,98 g/km,Euro 6d,17 668 km,10/2021,1,Metallic,,,,,10/2024,,,,,,,,,,,16349
1133,BMW,225 Active Tourer,Black,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,1 499 ccm,47 g/km,Euro 6d-TEMP,26 223 km,7/2020,1,,,,,,07/2025,,,,,,,,,,,24599
1134,Opel,Astra,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,100 kW,1 598 ccm,101 g/km,Euro 6,101 032 km,1/2018,1,Metallic,,,,,01/2025,,,,,,,,,,,13949
1135,Volkswagen,up!,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,61 kW,999 ccm,112 g/km,Euro 6d,8 300 km,11/2022,1,Metallic,,,,,11/2025,,,No,,,,,,,,21499
1136,Mercedes-Benz,GLE 63 AMG,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,430 kW,5 461 ccm,278 g/km,Euro 6d-TEMP,89 988 km,1/2019,,Metallic,,,,,,,,,,,,,,,,68949
1137,BMW,Z4,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,145 kW,1 998 ccm,161 g/km,No emission class,0 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,51449
1138,Ford,Focus,Brown,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,999 ccm,108 g/km,Euro 6,50 000 km,7/2020,,Metallic,,,,,,,,,,,,,,,,20899
1139,Citroen,Berlingo,Grey,,,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 560 ccm,115 g/km,Euro 6,78 616 km,3/2016,,,,Used,,08/2024,,,,,,,,,,,,16399
1140,Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,147 kW,1 968 ccm,117 g/km,Euro 6d-TEMP,20 km,11/2023,,Metallic,1466,,,,,,,,,,,,,,,40049
1141,Peugeot,208,Yellow,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,29 388 km,2/2020,,,1530,Used,Italy,,,,,,,,,,,,,22949
1142,Renault,Captur,Blue,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,898 ccm,113 g/km,Euro 6,51 219 km,1/2016,,,,Used,,12/2024,,,,,,,,,,,,12899
1143,Audi,A1,Red,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,119 g/km,Euro 6,59 604 km,5/2021,1,,,Used,,12/2025,,,,,,,,,,,,20599
1144,Opel,Corsa,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,98 g/km,Euro 6d,3 299 km,8/2022,1,Metallic,,,,,,,,,,,,,,,,17049
1145,Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,150 kW,1 968 ccm,120 g/km,Euro 6d,25 km,11/2023,,Metallic,,,,,,,,,,,,,,,,52149
1146,Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,81 kW,1 968 ccm,139 g/km,Euro 5,174 500 km,3/2015,2,Metallic,,,,,03/2025,,,,,,,,,,,11799
1147,Volkswagen,Caddy,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,84 kW,1 498 ccm,130 g/km,Euro 6d,12 900 km,1/2023,1,,,Used,,,01/2026,,,,,,,,,,,34049
1148,BMW,520,Grey,,,Station Wagon,4/5 doors,,not published by the seller,Diesel,Automatic,4x4,140 kW,1 995 ccm,114 g/km,,120 300 km,2/2017,,Metallic,,,,,,,,,,,,,,,,20349
1149,Mercedes-Benz,A 180,White,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,1 332 ccm,133 g/km,Euro 6d,33 897 km,9/2022,1,,,Used,,,,,,,,,,,,,,29449
1150,Volkswagen,Caddy,Red,Black interior,Velour interior,MPV/VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,84 kW,1 498 ccm,134 g/km,Euro 6d,12 000 km,1/2023,1,Metallic,,,,,,,,,,,,,,,,39499
1151,Citroen,C4,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,32 339 km,9/2021,,,1536,Used,,,,,,,,,,,,,,28349
1152,Volkswagen,T-Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,81 kW,1 000 ccm,112 g/km,Euro 6d,0 km,6/2023,,Metallic,,New,,,,,,,,,,,,,,34149
1153,Peugeot,308,Grey,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,82 kW,1 199 ccm,101 g/km,Euro 6,68 827 km,11/2020,,Metallic,1180,Used,,,,,,,,,,,,,,17099
1154,Audi,Q2,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,119 g/km,Euro 6,4 999 km,10/2023,1,,,Demonstration car,,,10/2026,,,,,,,,,,,28899
1155,Hyundai,i10,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,49 kW,998 ccm,97 g/km,Euro 6d,6 669 km,2/2023,,Metallic,999,Used,Germany,,,,,,,,,,,,,14549
1156,Mazda,CX-5,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,2 191 ccm,132 g/km,Euro 6d,30 358 km,5/2021,1,Metallic,,,,,05/2024,,,,,,,,,,,25699
1157,Smart,ForTwo,Grey,Black interior,Cloth interior,Hatchback,2/3 doors,2,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,No emission class,17 404 km,6/2021,,,1095,Used,,,,Lithium-ion (Li-ion),18 kWh,No,,1 h,,,,,,17449
1158,Mercedes-Benz,CLA 200 Shooting Brake,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 950 ccm,132 g/km,Euro 6d,100 984 km,9/2020,2,,,,,,,,,,,,,,,,,29499
1159,Mercedes-Benz,Sprinter,,Black interior,Other interior material,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,110 kW,,239 g/km,No emission class,30 km,10/2023,1,,,,,,,,,,,,,,,,,45349
1160,Hyundai,Ioniq,Blue,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,104 kW,1 580 ccm,92 g/km,Euro 6,30 305 km,1/2018,,Metallic,1552,Used,,,,Lithium polymer (Li-pol),,No,,2 h,,,,,,18899
