,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
420,Skoda,Fabia,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,59 kW,999 ccm,117 g/km,Euro 6d-TEMP,0 km,9/2023,,Metallic,,New,,,,,,,,,,,,,,18649
421,Ford,B-Max,Silver,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,998 ccm,119 g/km,Euro 5,96 008 km,1/2013,2,Metallic,,,,,,,,,,,,,,,,8699
422,Mercedes-Benz,GLC 200,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,120 kW,1 950 ccm,152 g/km,Euro 6d,48 678 km,12/2020,,,,,,,12/2023,,,,,,,,,,,46799
423,Skoda,Superb,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,120 g/km,Euro 6d-TEMP,38 493 km,7/2020,1,Metallic,,,,,,,,,,,,,,,,33049
424,BMW,120,Blue,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 995 ccm,141 g/km,Euro 6,36 830 km,12/2022,1,,,Used,,12/2024,,,,,,,,,,,,43199
425,Ford,Fiesta,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,1 084 ccm,102 g/km,Euro 6,39 342 km,9/2021,1,Metallic,,Used,,12/2024,,,,,,,,,,,,13999
426,Kia,Sportage,Grey,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,132 kW,1 598 ccm,149 g/km,Euro 6d,9 500 km,4/2023,1,Metallic,,Demonstration car,,,,,,No,Mild hybrid,,,,,,,37299
427,Smart,ForTwo,Black,Black interior,Cloth interior,Hatchback,2/3 doors,2,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,No emission class,19 732 km,10/2020,1,,,,,,,Lithium-ion (Li-ion),17 kWh,No,,1 h,,,,,,13199
428,Hyundai,Kona,White,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,146 kW,1 598 ccm,136 g/km,Euro 6d-TEMP,16 km,11/2023,,,,Demonstration car,Germany,,,,,,,,,,,,,40549
429,Opel,Astra,Grey,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,1 199 ccm,102 g/km,Euro 6d,41 130 km,11/2019,2,Metallic,,,,,,,,,,,,,,,,17099
430,Volkswagen,ID.4,Black,Brown interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,28 000 km,2/2022,,,2124,Used,,,,Lithium-ion (Li-ion),82 kWh,No,,8 h,37 min,,,,,41499
431,BMW,330,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,190 kW,2 993 ccm,130 g/km,Euro 5,27 000 km,3/2014,1,Metallic,,,,,,,,,,,,,,,,36149
432,Skoda,Kamiq,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,113 g/km,Euro 6d,25 000 km,1/2022,1,Metallic,,,,,01/2025,,,,,,,,,,,28599
433,Toyota,Land Cruiser,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,,not published by the seller,Diesel,Automatic,4x4,150 kW,2 755 ccm,206 g/km,Euro 6d-TEMP,23 245 km,1/2023,,Metallic,2155,Used,,,,,,,,,,,,,,75799
434,Volkswagen,T-Cross,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,116 g/km,Euro 6d,11 460 km,8/2022,,Metallic,1325,Used,Germany,,,,,,,,,,,,,25349
435,Nissan,Qashqai,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,116 kW,1 332 ccm,0 g/km,Euro 6,50 km,4/2023,,Metallic,,Used,,,,,,,,,,,,,,33649
436,Hyundai,Tucson,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,110 kW,1 598 ccm,125 g/km,Euro 6d,8 700 km,5/2023,1,Metallic,,,,,05/2026,,,,,,,,,,,30999
437,Kia,cee'd / Ceed,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,117 kW,1 482 ccm,142 g/km,Euro 6d,28 200 km,12/2022,1,Metallic,,,,,,,,,,,,,,,,23749
438,Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,999 ccm,108 g/km,Euro 6d,50 km,1/2023,1,Metallic,,,,,01/2024,,,,,,,,,,,29949
439,Volkswagen,Passat,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,176 kW,1 968 ccm,157 g/km,Euro 6,70 179 km,9/2020,1,,,,,,11/2025,,,,,,,,,,,31549
440,Toyota,C-HR,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,90 kW,1 798 ccm,106 g/km,Euro 6,13 503 km,2/2023,1,,,,,,,Nickel-metal hydride (NiMH),1 kWh,No,Full hybrid,,,,,,,29149
441,Opel,Corsa,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,Euro 6d-TEMP,1 km,10/2023,,,1530,,,,,Lithium-ion (Li-ion),50 kWh,No,,,30 min,,,,,33599
442,Ford,Puma,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,92 kW,999 ccm,113 g/km,Euro 6d,25 km,11/2023,1,Metallic,,,,,11/2026,,,,,,,,,,,27849
443,Peugeot,208,Red,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,97 g/km,Euro 6,37 586 km,12/2021,1,,,Used,,12/2024,,,,,,,,,,,,20049
444,Opel,Crossland,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 199 ccm,107 g/km,Euro 6,31 435 km,11/2020,2,,,,,,,,,,,,,,,,,17849
445,Renault,Grand Scenic,Grey,Grey interior,Alcantara interior,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,116 kW,1 333 ccm,146 g/km,Euro 6d,10 km,11/2023,1,Metallic,,,,,,,,,,,,,,,,35599
446,Ford,Ranger,Blue,Black interior,Cloth interior,Pick-up,2/3 doors,2,not published by the seller,Diesel,Manual,4x2,92 kW,2 198 ccm,192 g/km,Euro 5,61 614 km,10/2012,1,Metallic,,,,,07/2025,,,,,,,,,,,15899
447,Volkswagen,Passat,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,113 g/km,Euro 6d,32 101 km,6/2021,1,Metallic,,,,,11/2025,,,,,,,,,,,25649
448,BMW,118,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,1 995 ccm,108 g/km,Euro 6,30 000 km,7/2020,,Metallic,,,,,,,,,,,,,,,,26199
449,Fiat,500,Black,Grey interior,Cloth interior,Hatchback,2/3 doors,,not published by the seller,Electric,Automatic,4x2,70 kW,1 ccm,0 g/km,Euro 6,16 450 km,11/2021,,,,Used,,,,Lithium-ion (Li-ion),24 kWh,No,,3 h,30 min,,,,,22149
450,Audi,A7,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,250 kW,2 995 ccm,171 g/km,Euro 6d,21 210 km,1/2023,1,Metallic,,Used,,,,,,,,,,,,,,56299
451,BMW,X5,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Other fuel type,Automatic,4x4,213 kW,2 998 ccm,27 g/km,No emission class,78 556 km,6/2020,,Metallic,,Used,,,,,,,,,,,,,,78299
452,Land Rover,Range Rover,Black,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,297 kW,1 997 ccm,75 g/km,Euro 6,67 348 km,12/2020,1,,,Used,,12/2024,,,13 kWh,No,Full hybrid,,,,,,,102099
453,Mercedes-Benz,C 220,Silver,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,147 kW,1 993 ccm,131 g/km,Euro 6d-TEMP,3 697 km,10/2022,1,Metallic,,,,,,,,,,,,,,,,56299
454,BMW,X3,Brown,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 995 ccm,139 g/km,Euro 6d-TEMP,24 850 km,7/2019,1,Metallic,,,,,07/2024,,,,,,,,,,,36099
455,Kia,Sportage,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,132 kW,1 598 ccm,163 g/km,Euro 6d,5 km,8/2023,,Metallic,,New,,,,,,No,Mild hybrid,,,,,,,39049
456,Volkswagen,Polo,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,999 ccm,106 g/km,Euro 6d-TEMP,67 158 km,6/2020,,Metallic,,,,,,,,,,,,,,,,17299
457,Peugeot,208,Grey,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,103 g/km,Euro 6,40 908 km,2/2020,1,,,Used,,12/2024,,,,,,,,,,,,19499
458,Land Rover,Range Rover Evoque,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,227 kW,1 497 ccm,154 g/km,Euro 6d-TEMP,55 048 km,10/2021,,,2157,Used,Italy,,,,,,,,,,,,,52299
459,Audi,A5,Blue,Black interior,Cloth interior,Coupe,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,150 kW,1 984 ccm,128 g/km,Euro 6d,4 000 km,5/2023,1,Metallic,,,,,,,,,,,,,,,,40449
460,Seat,Ibiza,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,106 g/km,Euro 6,61 000 km,12/2019,,,,,,,01/2025,,,,,,,,,,,15299
461,Dacia,Duster,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 461 ccm,126 g/km,Euro 6,10 km,8/2023,,,,New,,,,,,,,,,,,,,25399
462,BMW,X3,Silver,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,215 kW,1 998 ccm,45 g/km,Euro 6,15 689 km,12/2020,,,,Used,,12/2025,,Lithium-ion (Li-ion),12 kWh,No,Full hybrid,,156 min,44 km,,,,52299
463,Audi,Q5,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 967 ccm,178 g/km,Euro 6d,24 990 km,11/2022,1,Metallic,,,,,11/2025,,,No,Mild hybrid,,,,,,,59249
464,Cupra,Formentor,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,180 kW,1 395 ccm,126 g/km,Euro 6d,19 250 km,8/2021,1,Metallic,,,,,,Lithium-ion (Li-ion),13 kWh,No,Plug-in hybrid,4 h,,,,,,34099
465,Hyundai,Tucson,,,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,169 kW,1 598 ccm,109 g/km,Euro 6,27 163 km,3/2021,,,,Used,,,,,2 kWh,No,Full hybrid,,,,,,,38249
466,Kia,cee'd / Ceed,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,150 kW,1 591 ccm,142 g/km,Euro 6d,20 km,8/2023,,Metallic,,New,,,,,,,,,,,,,,38399
467,Peugeot,207,Grey,Beige interior,Full leather interior,Hatchback,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,88 kW,1 598 ccm,160 g/km,Euro 5,27 900 km,11/2012,1,,,,,,06/2025,,,,,,,,,,,13799
468,Peugeot,208,Yellow,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,21 905 km,9/2021,,Metallic,,,,,,,,,,,,,,,,21049
469,Mercedes-Benz,GLC 250,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,155 kW,1 991 ccm,152 g/km,Euro 6,53 282 km,6/2018,2,Metallic,,,,,,,,,,,,,,,,36199
470,Hyundai,Ioniq,Blue,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,104 kW,1 580 ccm,92 g/km,Euro 6d-TEMP,55 000 km,11/2019,,Metallic,,Used,Germany,,,Lithium polymer (Li-pol),45 Ah,No,,,,,,,,19549
471,Mercedes-Benz,Sprinter,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,125 kW,1 950 ccm,0 g/km,Euro 6,68 857 km,2/2022,,,2578,Used,,,,,,,,,,,,,,58049
472,Renault,Clio,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,898 ccm,113 g/km,No emission class,48 865 km,4/2019,,Metallic,,Used,,,,,,,,,,,,,,14899
473,Cupra,Formentor,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,126 g/km,Euro 6d,42 031 km,6/2022,1,Metallic,,,,,,,,,,,,,,,,28849
474,Seat,Altea,,Other interior color,Other interior material,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,63 kW,1 390 ccm,154 g/km,No emission class,166 021 km,7/2011,,,,,,,02/2024,,,,,,,,,,,5799
475,BMW,120,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,130 kW,1 598 ccm,142 g/km,Euro 6,76 399 km,10/2015,1,Metallic,,,,,12/2024,,,,,,,,,,,15399
476,MG,MG5,Black,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,115 kW,,0 g/km,No emission class,1 km,7/2023,,Metallic,1637,,,,,,,,,,,,,,,35649
477,Volkswagen,T-Roc,Silver,,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,118 g/km,Euro 6,3 000 km,9/2023,,Metallic,,Used,,,,,,,,,,,,,,25449
478,Ford,S-Max,Black,Black interior,Cloth interior,MPV,4/5 doors,7,not published by the seller,Diesel,Automatic,4x2,110 kW,1 995 ccm,139 g/km,Euro 6d-TEMP,96 640 km,3/2019,,Metallic,,Used,,,,,,,,,,,,,,25749
479,Peugeot,308,Black,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,105 g/km,Euro 6d,41 910 km,5/2021,,Metallic,1369,Used,,,,,,,,,,,,,,21449
480,Dodge,Challenger,Red,Other interior color,Full leather interior,Coupe,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,362 kW,6 417 ccm,0 g/km,Euro 6,27 767 km,7/2022,1,Metallic,,,,,11/2025,,,,,,,,,,,52499
481,Volkswagen,Tiguan,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,133 g/km,Euro 6d,26 200 km,1/2023,1,,,Used,,,,,,,,,,,,,,31899
482,Rolls-Royce,Cullinan,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x4,420 kW,6 749 ccm,0 g/km,No emission class,4 755 km,11/2022,,,,Used,,,,,,,,,,,,,,582599
483,Volkswagen,Polo,Silver,Grey interior,Cloth interior,Hatchback,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,1 197 ccm,107 g/km,Euro 6,59 444 km,11/2014,1,Metallic,,,,,,,,,,,,,,,,12399
484,Citroen,C4,White,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,9 500 km,10/2022,,,1536,Used,Netherlands,,,,,,,,,,,,,32499
485,Jeep,Compass,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 332 ccm,125 g/km,Euro 6,75 204 km,10/2020,,,1505,Used,,,,,,,,,,,,,,26249
486,Opel,Combo,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,1 499 ccm,117 g/km,Euro 6,128 500 km,2/2019,,Metallic,,,,,,,,,,,,,,,,15899
487,Land Rover,Defender,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,386 kW,5 000 ccm,334 g/km,Euro 6d-TEMP,10 500 km,3/2023,1,Metallic,,Demonstration car,,,,,,,,,,,,,,125899
488,BMW,X1,Orange,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,1 995 ccm,113 g/km,Euro 6,79 056 km,11/2019,2,Metallic,,,,,11/2024,,,,,,,,,,,26249
489,Mercedes-Benz,GLE 350,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,235 kW,1 950 ccm,0 g/km,Euro 6,19 000 km,12/2021,1,Metallic,,,,,12/2024,,,,,,,,,,,92649
490,Volkswagen,T-Cross,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,999 ccm,112 g/km,Euro 6,23 854 km,12/2022,,Metallic,,,,,,,,,,,,,,,,24649
491,Toyota,Yaris,White,,,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,85 kW,1 490 ccm,96 g/km,Euro 6,17 224 km,9/2021,1,,,Used,,12/2026,,,,No,Full hybrid,,,,,,,23149
492,BMW,i4,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,210 kW,,0 g/km,No emission class,9 688 km,4/2023,,Metallic,2065,Used,,,,,,,,,,,,,,54949
493,Volkswagen,Passat,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,106 g/km,Euro 6d,12 850 km,3/2022,,,1599,Used,Germany,,,,,,,,,,,,,34299
494,Volkswagen,Sharan,Black,Beige interior,Other interior material,MPV,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,125 kW,1 968 ccm,154 g/km,Euro 5,164 750 km,5/2011,3,Metallic,,,,,,,,,,,,,,,,12899
495,MINI,Cooper S Clubman,Blue,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,141 kW,1 998 ccm,151 g/km,No emission class,55 547 km,6/2019,2,,,,,,,,,,,,,,,,,24649
496,Audi,SQ8,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,320 kW,3 956 ccm,204 g/km,Euro 6d-TEMP,63 414 km,2/2020,,Metallic,2440,Used,Germany,,,,,,,,,,,,,89149
497,Volkswagen,Tiguan,Grey,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,133 g/km,Euro 6,4 000 km,3/2023,1,Metallic,,Used,,12/2025,,,,,,,,,,,,39699
498,Mercedes-Benz,Sprinter,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,not published by the seller,CNG,Automatic,4x2,115 kW,1 796 ccm,213 g/km,Euro 6,168 040 km,3/2017,,,2381,Used,,,,,,,,,,,,,,19799
499,Toyota,C-HR,Grey,,,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,90 kW,1 798 ccm,106 g/km,Euro 5,40 280 km,10/2020,,,,,,,,Nickel-metal hydride (NiMH),1 kWh,No,Full hybrid,,,,,,,23149
500,Volkswagen,ID. BUZZ,White,Other interior color,Other interior material,MPV/VAN,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,10 500 km,12/2022,,Metallic,2485,Used,Italy,,,,,,,,,,,,,60599
501,BMW,220 Gran Tourer,Grey,Other interior color,Full leather interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,141 kW,1 998 ccm,149 g/km,Euro 6,91 500 km,7/2015,,Metallic,,,,,,,,,,,,,,,,19449
502,Audi,A3,White,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,104 g/km,Euro 6,11 354 km,2/2023,,,,Used,,,,,,,,,,,,,,38749
503,Ford,Fiesta,Blue,Other interior color,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,999 ccm,90 g/km,No emission class,10 340 km,12/2020,1,Metallic,,,,,,,,No,Mild hybrid,,,,,,,21099
504,Citroen,C3,White,,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,1 199 ccm,100 g/km,Euro 6,13 284 km,7/2021,1,,,Used,,12/2024,,,,,,,,,,,,15699
505,Mazda,CX-5,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,121 kW,1 998 ccm,165 g/km,No emission class,19 463 km,3/2023,,Metallic,,,,,,,,,,,,,,,,33099
506,BMW,X1,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 499 ccm,122 g/km,Euro 6,43 740 km,1/2018,,Metallic,1405,Used,Netherlands,,,,,,,,,,,,,24149
507,Smart,ForFour,White,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,66 kW,898 ccm,117 g/km,Euro 6,59 403 km,5/2019,2,,,,,,,,,,,,,,,,,15899
508,Mercedes-Benz,EQC,Silver,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,300 kW,,0 g/km,No emission class,12 997 km,2/2022,,Metallic,2420,Used,,,,Lithium-ion (Li-ion),85 kWh,No,,,40 min,,,,,59649
509,Mercedes-Benz,GL 63 AMG,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Petrol,Automatic,4x4,410 kW,5 461 ccm,288 g/km,No emission class,52 753 km,3/2015,2,,,,,,,,,,,,,,,,,61649
510,Land Rover,Range Rover Evoque,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,150 kW,1 998 ccm,139 g/km,No emission class,17 670 km,7/2022,,Metallic,,Used,Germany,,,,,,,,,,,,,46349
511,Citroen,C4,Black,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,5 km,7/2023,,Metallic,1561,Demonstration car,,,,,,,,,,,,,,39449
512,Smart,ForTwo,White,Other interior color,Full leather interior,Hatchback,2/3 doors,2,not published by the seller,Electric,Automatic,4x2,60 kW,,0 g/km,No emission class,9 987 km,8/2020,,,,,,,,Lithium-ion (Li-ion),18 kWh,No,,1 h,,,,,,15749
513,Skoda,Karoq,Grey,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,126 g/km,Euro 6,55 473 km,3/2021,,Pearl,,Used,,12/2024,,,,,,,,,,,,30949
514,Porsche,Boxster,White,Black interior,Part leather interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Manual,4x2,309 kW,3 995 ccm,251 g/km,Euro 6,6 476 km,4/2020,,Metallic,1420,Used,Germany,,,,,,,,,,,,,98799
515,Renault,Clio,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,68 kW,999 ccm,112 g/km,Euro 6,31 981 km,11/2022,,Metallic,1063,Used,,,,,,,,,,,,,,19099
516,BMW,540,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,245 kW,2 998 ccm,120 g/km,Euro 6d,25 500 km,12/2022,1,Metallic,,Used,,,02/2026,,,No,Mild hybrid,,,,,,,60099
517,Skoda,Superb,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 968 ccm,129 g/km,Euro 6d-TEMP,98 589 km,4/2020,1,Metallic,,,,,,,,,,,,,,,,32049
518,Audi,A4,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,100 kW,1 968 ccm,110 g/km,Euro 6d-TEMP,38 450 km,1/2020,2,,,,,,,,,No,Mild hybrid,,,,,,,28899
519,Nissan,Micra,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,68 kW,999 ccm,103 g/km,Euro 6d,10 949 km,5/2022,,Metallic,,,,,,,,,,,,,,,,18899
520,BMW,420,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,135 kW,1 998 ccm,162 g/km,Euro 6d,24 500 km,1/2023,1,Metallic,,Used,,,,,,,,,,,,,,40849
521,MG,ZS,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,78 kW,1 498 ccm,0 g/km,Euro 6,10 km,11/2023,,Metallic,1231,,,,,,,,,,,,,,,17149
522,Skoda,Fabia,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,51 kW,1 198 ccm,128 g/km,Euro 5,87 460 km,7/2011,2,Metallic,,,,,,,,,,,,,,,,7399
523,Volkswagen,Tiguan,White,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 395 ccm,132 g/km,Euro 6,129 477 km,2/2016,1,,,Used,,12/2024,,,,,,,,,,,,15949
524,Alfa Romeo,Stelvio,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,118 kW,2 143 ccm,139 g/km,Euro 6d,90 818 km,1/2019,,Metallic,1679,Used,,,,,,,,,,,,,,25149
525,Hyundai,Kona,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,88 kW,998 ccm,125 g/km,Euro 6,15 km,11/2023,,Metallic,,,,,,,,,,,,,,,,29949
526,Hyundai,Kona,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,160 kW,,0 g/km,Euro 6,10 km,9/2023,,,,New,,,,Lithium-ion (Li-ion),66 kWh,No,,6 h,43 min,,,,,52749
